NOMBRE*;TIPO;ESTILO;GRADO;IBU;LANZAMIENTO;ESTADO;PAÍS;URL;PRODUCTOR
Presidente;Pale Lager;American Adjunt Lager;5,00;;1935;Activa;República Dominicana;www.presidente.com.do;Cervecería Nacional Dominicana
Dos Equis Lager;Pale Lager;American Adjunt Lager;4,20;10;1984;Activa;México;heinekenmexico.com/marca/dos-equis;Cervecería Cuauhtémoc Moctezuma
Founders All Day IPA;Indian Pale Ale;American IPA;4,70;42;;Activa;Estados Unidos;;Founders Brewing
Brooklyn Lager;Dark Lager;American Amber / Red Lager;5,20;30;1988;Activa;Estados Unidos;;Brooklyn Brewery
Cusqueña Dorada;Pale Lager;European Pale Lager;4,80;25;;Activa;Perú;;Cusqueña
Club Colombia Dorada;Pale Lager;American Adjunt Lager;4,70;;1962;Activa;Colombia;www.clubcolombia.co;Cervecería Bavaria
Spaten Münchner Hell ;Pale Lager;Helles;5,20;21;1397;Activa;Alemania;spatenbraeu.de;Spaten-Franziskaner-Bräu
Altvater Weissbierbock;Bock;Weizenbock;7,10;;;Activa;Alemania;;Brauerei Bischofshof
Amstel Oro;Dark Lager;European Dark Lager;6,20;;;Activa;Países Bajos;;Amstel
La Salve Munich;Dark Lager;Dubbel;6,20;18;;Activa;España;;La Salve Bilbao
Oro Bilbao;Dark Lager;American Amber / Red Lager;6,00;;1912;Activa;España;www.oro.eus;Damm
Mort Subite Kriek Lambic;Lambic;Fruit;4,50;;;Activa;Bélgica;;Mort Subite
Chang Classic;Pale Lager;European Pale Lager;5,00;12;1995;Activa;Tailandia;www.changbeer.com;Thai Beverage
Sandels 5.3%;Pale Lager;European Pale Lager;5,30;30;1973;Activa;Finlandia;;Olvi
O'Hara's Irish Red;Pale Ale;Irish Red Ale;4,30;;;Activa;Irlanda;;Carlow Brewing
O'Hara's Irish Stout;Stout;Irish Dry Stout;4,30;;;Activa;Irlanda;;Carlow Brewing
12·70 Lager;Dark Lager;American Amber / Red Lager;5,20;;2018;Activa;España;;12·70
Chimay Bleue;Strong Ale;Belgian Pale Strong Ale;9,00;35;1862;Activa;Bélgica;www.chimay.com;Abbaye de Scourmont
Erdinger Weissbier;Wheat Beer;Hefeweizen;5,30;13;1886;Activa;Alemania;;Erdinger Weissbräu
Bischofshof Hefe-Weissbier Dunkel;Wheat Beer;Dunkelweizen;5,10;;;Activa;Alemania;;Brauerei Bischofshof
Cumberland Golden Beer;Pale Ale;English Bitter;4,00;;;Activa;Inglaterra;;Jennings Brewery
Hobgoblin Ruby;Pale Ale;Extra Special/Strong Bitter (ESB);5,20;32;;Activa;Inglaterra;hobgoblinbeer.co.uk;Wychwood Brewery
McEwan's Levy;Brown Ale;English Dark Mild Ale;3,20;;;Activa;Escocia;;McEwan's
Razorback;Pale Ale;English Bitter;3,80;;2015;Activa;Inglaterra;;Ringwood Brewery
Pedigree;Pale Ale;English Amber Ale;4,50;;;Activa;Inglaterra;;Marston's Brewery
