ID;NOMBRE;PAÍS;REGIÓN;CIUDAD;FUNDACIÓN;URL;EMPRESA MATRIZ
101;Abbaye de Maredsous ;Bélgica;Valonia;Anhée;1872;;Duvel Moortgat
102;Cobra;Reino Unido;Inglaterra;Burton upon Trent;1989;www.cobrabeer.com;
103;Brouwerij Duvel Moortgat;Bélgica;Flandes;Breendonk;1871;www.duvelmoortgat.com;Duvel Moortgat
104;Lindemans;Bélgica;Flandes;Vlezenbeek;1822;www.lindemans.be;
105;Binding Brauerei;Alemania;Hesse;Frankfurt;1870;www.binding.de;Radeberger Gruppe
106;Brouwerij Bosteels;Bélgica;Flandes;Buggenhout;1791;bosteelsbrewery.com;AB InBev
107;D&P Europe;Italia;Lombardia;Milan;;;
108;Sherry Beer;España;Andalucía;Jerez de la Frontera;2016;www.sherrybeer.com;
109;Cervecería Polar;Venezuela;Distrito Capital;Caracas;1941;;Empresas Polar
110;Rye River Brewing Company;Irlanda;Leinster;Kildare;2013;www.ryeriverbrewingco.com;
111;Primátor;República Checa;Bohemia;Náchod;1872;primator.cz;
112;Brouwerij Van Steenberge;Bélgica;Flandes;Ertvelde;1789;www.vansteenberge.com;
113;Zywiec Brewery;Polonia;Voivodato de Silesia;Zywiec;1856;en.grupazywiec.pl;Heineken H.V.
114;Coors Brewing Company;Estados Unidos;Colorado;Golden;1873;www.coors.com;Molson Coors
115;G. Schneider & Sohn;Alemania;Baviera;Kelheim;1872;schneider-weisse.de;
116;Cervezas Villa de Madrid;España;Comunidad de Madrid;Madrid;2014;www.cervezasvillademadrid.com;
117;Karlsberg / Karlsbräu;Alemania;Sarre;Homburgo;1878;karlsberg.de;Karlsberg Holding
118;Cervezas Victoria;España;Andalucía;Málaga;1928;www.cervezavictoria.es;Holding Cervecero Damm
119;Click&Brew;España;Cataluña;Lleida;2017;www.clickandbrew.com;
120;Brasserie Licorne;Francia;Alsacia;Saverne;1845;www.brasserielicorne.com;Karlsberg Holding
121;Estrella Galicia;España;Galicia;La Coruña;1906;estrellagalicia.es;Hijos de Rivera, S.A.
122;Cerveses La Gardènia-Rosita;España;Cataluña;Alcover;;;
123;The One Beer;España;Comunidad de Madrid;Getafe;2016;www.onebeer.es;
124;Greene King;Reino Unido;Inglaterra;Bury St Edmunds;1799;www.greeneking.co.uk;CK Asset Holdings
125;Zerep Carbónicas y Aguas S.A.;España;Castilla y León;León;1951;www.zerepcarbonicas.com;
126;Birra Peroni;Italia;Lazio;Roma;1846;www.birraperoni.it;Asahi Group Holdings
127;Cerveza SanFrutos;España;Castilla y León;Segovia;2013;cervezasanfrutos.com;
128;Cervezas Mascletà;España;Comunidad Valenciana;Valencia;2018;www.cervezamascleta.com;
129;König Ludwig Brauerei;Alemania;Baviera;Fürstenfeldbruck;1871;www.koenig-ludwig-brauerei.com;
130;Praga Brewing Group;República Checa;Bohemia;Praga;2004;www.pragapils.eu;
131;Cervezas Alcázar de Jaén;España;Andalucía;Jaén;1928;;Heineken H.V.
132;Mercadona;España;Comunidad Valenciana;Valencia;1977;www.mercadona.es;
133;Lidl;Alemania;Baden-Wurtemberg;Neckarsulm;1973;;
134;Cerex Brewing;España;Extremadura;Zarza de Granadilla;2013;cervezacerex.com;
135;Eagle Brewery;Reino Unido;Inglaterra;Bedford;1976;eaglebrewery.co.uk;Holding Cervecero Damm
136;Grupo Badbeers;España;Comunidad de Madrid;Torrejón de Velasco;2020;badbeers.com;
137;MCJ Cerveceros Portuenses;España;Andalucía;El Puerto de Santa María;;;
138;Tsingtao Brewery;China;Shandong;Qingdao;1903;www.tsingtao.es;
139;United Dutch Breweries;Países Bajos;Brabante Septentrional;Breda;1538;www.uniteddutchbreweries.com;
140;Dougalls;España;Cantabria;Liérganes;2006;www.dougalls.es;
