ID;CERVEZA;AÑO;COLOR;FABRICANTE;OBTURADOR;INSCRIPCIÓN;ESTADO;REPETIDA;FORMATO;REGISTRO;IMAGEN
288;Ambar Morena;2023;Naranja;Unibox;4;20;Perfecto;SI;33cl;;288_Ambar_Morena_2023.jpg
289;Cerex Pilsen;2023;Negro;Sin fabricante;B 18;;Bueno;SI;33cl;;289_Cerex_Pilsen_2023.jpg
290;Alhambra Reserva 1925;2005;Verde;TCI;32;;Regular;NO;25cl;;290_Alhambra_Reserva_1925_2005.jpg
291;Stark Especial;2014;Rojo;dap;14;2;Regular;NO;33cl;;291_Stark_Cerveza_Especial_2016.jpg
292;Bombardier Amber Beer;2016;Multicolor;Unibox;10;23;Regular;NO;33cl;;292_Bombardier_Amber_Beer_Union_Jack_2016.jpg
293;Patronus Premium Weissbier;2020;Oro;RRK;32;;Bueno;NO;33cl;;293_Patronus_Premium_Weissbier_2020.jpg
294;Bernabeu Madrid;2023;Blanco;cp;24;6;Perfecto;NO;33cl;;294_Bernabeu_Madrid_2023.jpg
295;Caletera Tostada;2023;Negro;Sin fabricante;A 12;;Bueno;NO;33cl;;295_Caletera_Tostada_2023.jpg
296;San Miguel Eco;2023;Beige;U;16;R8778 BO 1 18;Perfecto;SI;25cl;;296_San_Miguel_Eco_2023.jpg
297;Tsingtao;2023;Oro;Ziquan;14;18;Perfecto;NO;33cl;;297_Tsingtao_2023.jpg
298;Monastère Blond;2023;Negro;cp;31;;Bueno;NO;33cl;;298_Monastère_Blond_2023.jpg
299;IPA4;2023;Negro;U;8;21;Bueno;NO;33cl;;299_Dougall's_IPA4_2023.jpg
300;Mahou Cinco Estrellas;2023;Oro;U;15;R10868 3 6;Malo;NO;33cl;;300_Mahou_Cinco_Estrellas_2023.jpg
301;Perkins Cerveza Rubia;2023;Blanco;astir;A 12;9-18;Perfecto;NO;33cl;;301_Perkins_Cerveza_Rubia_2023.jpg
302;Desperados Red;2023;Rojo;dap;19;05.36.25.764 21 9;Perfecto;NO;33cl;;302_Desperados_Red_2023.jpg
303;Alhambra Reserva 1925;2023;Verde;U;24;R10612 BO 2 25;Perfecto;NO;25cl;;303_Alhambra_Reserva_1925_2023.jpg
304;Mahou Cinco Estrellas Sin Gluten;2023;Rojo;U;4;R6470 BO 2 16;Bueno;NO;33cl;;304_Mahou_Cinco_Estrellas_Sin_Gluten_2023.jpg
305;Cherry Chouffe;2023;Rojo;dap;13;22;Bueno;NO;33cl;;305_Cherry_Chouffe_2023.jpg
306;Ramblers Weissbier;2023;Gris;dap;5;12 21;Bueno;NO;50cl;;306_Ramblers_2023.jpg
