ID;CERVEZA;AÑO;COLOR;FABRICANTE;OBTURADOR;INSCRIPCIÓN;ESTADO;REPETIDA;FORMATO;REGISTRO;IMAGEN
78;Vogelsberger Naturtrüb Bio Radler;2020;Oro;HB;37;;Bueno;NO;50cl;;78_Vogelsberger_Naturtrüb_Radler_2020.jpg
79;Benediktinerabtei Plankstetten Dinkel;2020;Oro;HB;30;4;Regular;NO;50cl;;79_Benediktinerabtei_Plankstetten_2020.jpg
80;Affligem Dubbel;2020;Azul;cp;27;40013100 15;Regular;NO;33cl;;80_Affligem_Dubbel_2020.jpg
81;Weltenburger Kloster Helle Weiße;2020;Plata;RRK;01;3 09 28/19;Regular;NO;50cl;;81_Weltenburger_Kloster_Hefe-Weisbier_Hell_2020.jpg
82;Hofbräu München Weisse;2020;Plata;HB;10;11;Bueno;NO;50cl;;82_Hofbräu_München_Münchner_Weisse_2020.jpg
83;La Trappe Isid'or;2020;Crudo;Unibox;7;;Bueno;NO;33cl;;83_La_Trappe_Isid'Or_2020.jpg
84;La Trappe Quadrupel;2020;Crudo;Unibox;16;14538 17;Perfecto;NO;33cl;;84_La_Trappe_Quadrupel_2020.jpg
85;Waterloo Triple Blonde;2020;Rojo;HB;25;24;Bueno;NO;33cl;;85_Waterloo_Triple_Blonde_2020.jpg
86;Timmermans Kriek Lambicus;2020;Rojo;HB;21;;Regular;NO;33cl;;86_Timmermans_Kriek_Lambicus_2020.jpg
87;Bourgogne des Flandres;2020;Oro;BL;03;14;Perfecto;NO;33cl;;87_Bourgogne_des_Flandes_2020.jpg
88;Burro de Sancho Rubia;2020;Blanco;GMP;13;23;Bueno;NO;33cl;;88_Burro_de_Sancho_2020.jpg
89;La Cibeles Rubia;2020;Blanco;cp;03;16;Bueno;SI;33cl;;89_La_Cibeles_2020.jpg
90;Madrid Lager;2020;Marrón;U;1;23;Regular;NO;33cl;;90_La_Virgen_Madrid_2020.jpg
91;1906 Red Vintage;2020;Rojo;Unibox;A27;10;Perfecto;SI;33cl;;91_1906_Red_Vintage_2020.jpg
92;Jamonera;2020;Marrón;U;07;13;Bueno;NO;33cl;;92_La_Virgen_Jamonera_2020.jpg
93;Desperados Lima;2020;Verde;dap;20;5207 4;Perfecto;NO;33cl;;93_Desperados_Lima_2020.jpg
94;San Miguel 1516;2020;Oro;cp;;R-5718 BO 17;Perfecto;SI;33cl;;94_San_Miguel_1516_2020.jpg
95;Argus Reserva 1844;2020;Negro;U;11;KC6BEAG7 2;Perfecto;NO;33cl;;95_Argus_Reserva_1844_Lidl_2020.jpg
96;1906 Reserva Especial;2020;Negro;Unibox;A28;10;Bueno;SI;33cl;;96_1906_Reserva_Especial_2020.jpg
97;Bock Damm;2020;Negro;U;27;KC 01805 BO 2 7;Perfecto;NO;33cl;;97_Bock_Damm_2020.jpg
98;Warsteiner Premium Beer;2020;Oro;DKF;39-33;3-15;Regular;SI;33cl;;98_Warsteiner_Premium_2020.jpg
99;Cusqueña Negra;2020;Negro;PPP;07;27;Perfecto;NO;33cl;;99_Cusqueña_Negra_2020.jpg
100;Presidente;2020;Oro;Sin fabricante;4;3-23;Perfecto;NO;33cl;;100_Presidente_2020.jpg
101;Dos Equis Lager;2020;Verde;Crown;19;1-19;Perfecto;NO;33cl;;101_Dos_Equis_Lager_Especial_2020.jpg
102;Founders All Day IPA;2020;Negro;astir;A 07;16-5;Bueno;SI;33cl;;102_Founders_All_Day_IPA_Session_ALE_2020.jpg
103;Brooklyn Lager;2020;Plata;Crown;04;2-18;Perfecto;NO;33cl;;103_Brooklyn_Lager_2020.jpg
104;Cusqueña Dorada;2020;Oro;PPP;08;20;Perfecto;NO;33cl;;104_Cusqueña_Dorada_2020.jpg
105;Club Colombia Dorada;2020;Oro;B 1;17;8-17;Perfecto;NO;33cl;;105_Club_Colombia_Dorada_2020.jpg
106;Spaten Münchner Hell ;2020;Blanco;Unibox;A19;51188790;Perfecto;NO;50cl;;106_Spaten_2020.jpg
107;Altvater Weissbierbock;2020;Beige;RRK;24;21 21 12/18;Perfecto;NO;50cl;;107_Altvater_Weissbierbock_2020.jpg
108;Amstel Oro;2020;Gris;cp;;053625698 25;Regular;SI;33cl;;108_Amstel_Oro_Dorada_2020.jpg
109;La Salve Munich;2020;Oro;U;00;20;Bueno;NO;33cl;;109_La_Salve_Bilbao_Munich_2020.jpg
110;Oro Bilbao;2020;Oro;U;20;KC80503 BO 1 26;Bueno;SI;33cl;;110_Oro_Bilbao_2020.jpg
111;Mort Subite Kriek Lambic;2020;Negro;cp;05;40016371 16;Bueno;NO;33cl;;111_Mort_Subite_Kriek_Lambic_2020.jpg
112;Desperados Mojito;2020;Verde;dap;09;053625733 24;Perfecto;NO;33cl;;112_Desperados_Mojito_2020.jpg
113;Chang Classic;2020;Verde;Crown;24;374;Perfecto;NO;33cl;;113_Chang_Classic_2020.jpg
114;Sandels 5.3%;2020;Crudo;FK;22;22;Perfecto;NO;33cl;;114_Sandels_Premium_2020.jpg
115;O'Hara's Irish Red;2020;Oro;cp;28;12;Bueno;NO;33cl;;115_O'Hara's_Irish_Red_2020.jpg
116;O'Hara's Irish Stout;2020;Negro;cp;14;14;Bueno;NO;33cl;;116_O'Hara's_Irish_Stout_2020.jpg
117;12·70 Lager;2020;Negro;astir;B 16;;Bueno;SI;33cl;;117_1270_Premium_Lager_2020.jpg
118;Chimay Bleue;2020;Azul;dap;04;12;Bueno;NO;33cl;;118_Chimay_Azul_2020.jpg
119;Erdinger Weissbier;2020;Oro;dap;08;5;Perfecto;NO;33cl;;119_Erdinger_Weissbräu_2020.jpg
120;Bischofshof Hefe-Weissbier Dunkel;2020;Blanco;RRK;09;3 26 40/19;Perfecto;NO;50cl;;120_Bischofshof_Hefe-Weissbier_Dunkel_2020.jpg
121;Cumberland Golden Beer;2020;Gris;astir;20;82340 4-9;Perfecto;NO;33cl;;121_Cumberland_Golden_Beer_2020.jpg
122;Hobgoblin Ruby;2020;Azul;astir;A 06;82014 9-22;Perfecto;NO;50cl;;122_Wychwood_Hobgoblin_Legendary_Ruby_2020.jpg
123;McEwan's Levy;2020;Oro;dap;10;74512 11;Bueno;NO;50cl;;123_McEwan's_Levy_2020.jpg
124;Razorback;2020;Negro;astir;A 08;60884 19-18;Regular;NO;50cl;;124_Ringwood_Razoback_Craft_Ale_2020.jpg
125;Pedigree;2020;Negro;astir;B 06;60559 17-6;Bueno;NO;50cl;;125_Marston's_Pedigree_2020.jpg
126;Lancaster Bomber;2020;Plata;astir;B 14;;Regular;NO;33cl;;126_Lancaster_Bomber_2020.jpg
127;Burro de Sancho Rubia;2020;Negro;cp;23;25;Bueno;NO;33cl;;127_La_Sagra_Sancho_2020.jpg
128;San Miguel Selecta;2020;Marrón;U;11;R9214 BO 23;Perfecto;SI;33cl;;128_San_Miguel_Selecta_2020.jpg
129;Ambar 1900;2020;Verde;U;21;21;Bueno;NO;33cl;;129_Ambar_1900_Pale_Ale_2020.jpg
130;Alhambra Especial;2020;Blanco;U;17;R7011 BO 5 9;Bueno;SI;33cl;;130_Alhambra_Especial_2020.jpg
131;Grimbergen Belgian Pale Ale;2020;Verde;cp;24;317697 13;Perfecto;SI;33cl;;131_Grimbergen_Belgian_Pale_Ale_2020.jpg
132;The Brale;2020;Negro;DKF;38-31;7-16;Perfecto;NO;33cl;;132_Braufactum_The_Brale_2020.jpg
133;San Miguel Magna;2020;Verde;U;23;R8468 BO 3 19;Perfecto;SI;33cl;;133_San_Miguel_Magna_2020.jpg
134;Desperados Ginger;2020;Verde;dap;01;5192 21;Perfecto;NO;33cl;;134_Desperados_Ginger_2020.jpg
135;Especialidades 1897 Trigo;2020;Oro;RRK;08;18 20 04/20;Bueno;NO;33cl;;135_Especialidades_1897_Trigo_Mercadona_2020.jpg
136;Grimbergen Blonde;2020;Oro;cp;17;317568 6;Bueno;SI;33cl;;136_Grimbergen_Blonde_2020.jpg
137;Camaro;2020;Azul;dap;02;21;Bueno;NO;33cl;;137_Camaro_Lidl_2020.jpg
138;Ambar Export;2020;Azul;U;13;10;Bueno;NO;33cl;;138_Ambar_Export_2020.jpg
139;La Sagra Calabaza y Canela;2020;Negro;cp;MK 18;9;Perfecto;NO;33cl;;139_La_Sagra_Calabaza-Canela_Pumpkin_Ale_2020.jpg
140;Carlsberg;2020;Verde;cp;20;19;Perfecto;SI;33cl;;140_Carlsberg_2020.jpg
141;Alhambra Reserva Esencia Citra IPA;2020;Amarillo;U;13;R9121 BO 27;Bueno;NO;33cl;;141_Alhambra_Reserva_Esencia_IPA_2020.jpg
142;Blanche De Charleroi;2020;Azul;U;12;16;Perfecto;NO;33cl;;142_Blanche_De_Charleroi_2020.jpg
143;Te Deum Amber;2021;Rojo;BL;10;9;Perfecto;NO;33cl;;143_Te_Deum_Amber_Especial_Roja_2021.jpg
144;Erdinger Weissbier Dunkel;2021;Violeta;RRK;23;15 09 23/20;Perfecto;NO;50cl;;144_Erdinger_Weissbräu_Dunkel_2021.jpg
145;Abbaye D'Aulne Blonde;2021;Oro;U;21;13;Perfecto;SI;33cl;;145_Abbaye_D'Aulne_Blonde_2021.jpg
146;Alhambra Baltic Porter;2021;Negro;U;34;R8052 BO 22;Bueno;NO;33cl;;146_Alhambra_Baltic_Porter_2021.jpg
147;Grevensteiner Original;2021;Blanco;RRK;12;5 27 28/20;Perfecto;NO;33cl;;147_Grevensteiner_C&A_Veltins_2021.jpg
148;Budweiser Budvar Original;2021;Oro;cp;10;;Bueno;SI;33cl;;148_Budejovicky_Budvar_2021.jpg
149;Trappistes Rochefort 8;2021;Verde;DKF;32-27;6-16;Perfecto;NO;33cl;;149_Rochefort_8_2021.jpg
150;Brewdog Punk IPA;2021;Azul;Unibox;18;6;Perfecto;NO;33cl;;150_Brewdog_Punk_IPA_2021.jpg
151;Camden Pale Ale;2021;Blanco;U;03;4;Bueno;NO;33cl;;151_Camden_Town_Brewery_Pale_Ale_2021.jpg
152;Einstök Icelandic Toasted Porter;2021;Negro;HB;03;26;Malo;NO;33cl;;152_Einstök_Oldgerd_Toasted_Porter_2021.jpg
153;Hoegaarden De Verboden Vrucht / Le Fruit Défendu;2021;Negro;HB;41;50197580 22;Regular;NO;33cl;;153_De_Verboden_Vrucht_Le_Fruit_Défendu_2021.jpg
154;Turia Märzen;2021;Negro;U;08;KC05502 BO 10 14;Bueno;SI;25cl;;154_Turia_Märzen_2021.jpg
155;Weihenstephaner Hefeweissbier;2021;Blanco;dap;07;13;Bueno;NO;33cl;;155_Weihenstephaner_Hefe_Weissbier_2021.jpg
156;Hertog Jan Tripel;2021;Gris;Unibox;18;51223041;Bueno;NO;33cl;;156_Hertog_Jan_Triplel_2021.jpg
157;OXIT Blonde;2021;Blanco;Sin fabricante;31;;Bueno;NO;33cl;;157_Oxit_Blonde_2021.jpg
158;Ginette Bio Lager;2021;Azul;HB;22;51231945 24;Bueno;NO;33cl;;158_Ginette_Bio_Lager_2021.jpg
159;312 Urban Wheat;2021;Negro;TC;L2 20;|19 13-16;Regular;NO;33cl;;159_Goose_Island_Urban_2021.jpg
160;Modelo Especial;2021;Oro;Sin fabricante;F 23;LPVC 9-23;Regular;NO;33cl;;160_Modelo_Especial_2021.jpg
161;Especialidades 1897 Gran Reserva;2021;Oro;cp;5;;Perfecto;SI;33cl;;161_Especialidades_1897_Gran_Reserva_Mercadona_2021.jpg
162;Hélécine Brune;2021;Oro;C.R.;01;3;Bueno;NO;33cl;;162_Hélécine_Brune_Mercadona_2021.jpg
163;Alhambra Barrica Ron Granadino;2021;Marrón;U;07;R8451 BO 12;Bueno;NO;33cl;;163_Alhambra_Barrica_Ron_Granadino_2021.jpg
164;Old Empire IPA;2021;Negro;astir;13;61312 13-18;Bueno;NO;50cl;;164_Marston's_Old_Empire_2021.jpg
165;Alhambra Reserva Roja;2021;Marrón;U;29;R6189 BO 4 20;Bueno;SI;33cl;;165_Alhambra_Roja_2021.jpg
166;Ambar IPA;2021;Blanco;U;35;23;Bueno;NO;33cl;;166_Ambar_IPA_2021.jpg
167;Complot IPA;2021;Verde;U;02;KC07003 BO 1 3;Perfecto;NO;33cl;;167_Complot_Ipa_Mediterranean_2021.jpg
168;Carrefour Sensation Reserva;2021;Blanco;cp;18;12;Perfecto;NO;33cl;;168_Carrefour_Sensation_Reserva_2021.jpg
169;Pilsener;2021;Amarillo;O;30;16;Bueno;NO;33cl;;169_Pilsener_2021.jpg
170;Hatherwood Ginger Grizzly;2021;Naranja;astir;32;79145 3-14;Bueno;SI;33cl;;170_Hatherwood_Craft_Beer_Company_Ginger_Grizzly_No._6.jpg
171;Riedenburger Hefe-Weizen Hell;2021;Oro;HB;38;18;Bueno;NO;33cl;;171_Riedenburger_Hefe-Weizen_Hell_2021.jpg
172;Monkey Mr. Pink;2021;Negro;Sin fabricante;32;;Regular;NO;33cl;;172_Monkey_Mr_Pink_Indian_Pale_Ale_2021.jpg
173;NÓS Fox IPA;2021;Blanco;U;02;2;Bueno;SI;33cl;;173_Nós_Fox_IPA_2021.jpg
174;Domus Aurea;2021;Negro;dap;10;;Regular;NO;33cl;;174_Domus_Aurea_IPA_2021.jpg
175;Maisel & Friends IPA;2021;Rojo;RRK;13;21 4 13/20;Regular;NO;33cl;;175_Maisel_&_Friends_IPA_2021.jpg
176;Crafted for Lidl - Eureka Lager;2021;Negro;cp;02;;Regular;SI;33cl;;176_Crafted_Beer_for_Lidl_Eureka_Lager_2021.jpg
177;Crafted for Lidl - Warrior;2021;Negro;cp;22;;Regular;SI;33cl;;177_Crafted_Beer_for_Lidl_Warrior_2021.jpg
178;Guineu Dr. Calypso;2021;Negro;astir;A 08;23-2;Perfecto;SI;33cl;;178_Guineu_Dr_Calypso_2021.jpg
179;Tyris IPA;2021;Negro;astir;A 19;;Bueno;NO;33cl;;179_Tyris_IPA_2021.jpg
180;La Socarrada;2021;Negro;U;02;;Regular;NO;33cl;;180_La_Socarrada_2021.jpg
181;Cerdos Voladores;2021;Rosa;U;19;26;Perfecto;NO;33cl;;181_Cerdos_Voladores_2021.jpg
182;Maredsous Brune;2021;Marrón;RRK;06;13 04 16/21;Bueno;SI;33cl;;182_Maredsous_Brune_2021.jpg
183;Veltins Pilsener;2021;Blanco;HB;29;2;Perfecto;NO;33cl;;183_Veltins_Pilsener_2021.jpg
184;Cobra Premium;2021;Amarillo;dap;19;7070095 18;Perfecto;NO;33cl;;184_Cobra_2021.jpg
185;Chérie À La Framboise;2021;Blanco;U;27;13;Perfecto;NO;33cl;;185_Cherie_Bier_Blache_a_la_Frambois_2021.jpg
186;Vedett Extra White;2021;Blanco;RRK;23;14 02 38/20;Perfecto;NO;33cl;;186_Vedett_Extra_White_2021.jpg
187;Lindemans Faro;2021;Oro;C.R.;22;8;Regular;SI;25cl;;187_Lindemans_Faro_2021.jpg
188;Schöfferhofer Hefeweizen Dunkel;2021;Oro;RRK;20;19 14 04/20;Bueno;NO;33cl;;188_Schöfferhofer_Dunkel_2021.jpg
189;Tripel Karmeliet;2021;Crudo;dap;15;17;Perfecto;SI;33cl;;189_Tripel_Karmeliet_2021.jpg
190;Abbaye D'Aulne Ambrée;2021;Verde;U;17;1;Perfecto;NO;33cl;;190_Abbaye_D'Aulne_Ambree_2021.jpg
191;Abbaye D'Aulne Brune;2021;Marrón;U;22;24;Perfecto;NO;33cl;;191_Abbaye_D'Aulne_Brune_2021.jpg
192;Abbaye D'Aulne Cuvée Royale;2021;Azul;U;07;12;Perfecto;NO;33cl;;192_Abbaye_D'Aulne_Cuvee_Royal_2021.jpg
193;Madrí Pilsner;2021;Blanco;dap;12;16;Perfecto;SI;33cl;;193_Madrí_Pilsner_2021.jpg
194;New Yorker Fine Lager;2021;Azul;Unibox;3;3;Bueno;NO;33cl;;194_New_Yorker_Fine_Lager_2021.jpg
195;15&30 IPA;2021;Oro;astir;06;9-20;Bueno;NO;33cl;;195_15&30_IPA_2021.jpg
196;Polar Pilsen;2021;Azul;U;34;R9978 BO 1 26;Bueno;NO;33cl;;196_Polar_Pilsen_2021.jpg
197;Ginger Beard;2021;Gris;astir;11;82015 8-14;Perfecto;NO;33cl;;197_Wychwood_Ginger_Beard_2021.jpg
198;The Crafty Brewing Company Irish Pale Ale ;2021;Oro;dap;12;4;Perfecto;SI;33cl;;198_The_Crafty_Brewing_Company_Irish_Pale_Ale_2021.jpg
199;Pilsner Urquell;2021;Oro;cp;02;;Perfecto;NO;33cl;;199_Pilsner_Urquell_2021.jpg
200;Primátor Premium;2021;Blanco;RRK;16;16 22 44/20;Perfecto;NO;33cl;;200_Primator_Premium_Lager_2021.jpg
201;Abbaye D'Aulne Premier Cru;2021;Naranja;U;12;21;Perfecto;NO;33cl;;201_Abbaye_D'Aulne_Premier_Cru_9º_2021.jpg
202;Duvel;2021;Blanco;dap;14;9;Perfecto;NO;33cl;;202_Duvel_2021.jpg
203;Primátor Weizen;2021;Blanco;RRK;7;2 06 11/21;Perfecto;NO;33cl;;203_Primator_Weizen_2021.jpg
204;Super Bock Abadia;2021;Marrón;Unibox;R30;13;Bueno;NO;33cl;;204_Super_Bock_Abadía_2021.jpg
205;1906 Galician Irish Red Ale;2021;Azul;Unibox;A24;23;Bueno;SI;33cl;;205_1906_Galician_Irish_Red_Ale_2021.jpg
206;Chouffe Blanche;2021;Blanco;dap;13;22;Perfecto;NO;33cl;;206_La_Chouffe_Blanche_2021.jpg
207;Duvel 6.66%;2021;Blanco;dap;14;3;Perfecto;NO;33cl;;207_Duvel_666_2021.jpg
208;Kwak;2021;Marrón;BL;10;25;Perfecto;SI;33cl;;208_Kwak_2021.jpg
209;Gulden Draak Classic;2021;Blanco;HB;01;9;Perfecto;SI;33cl;;209_Gulden_Draak_2021.jpg
210;Estrella Damm;2021;Rojo;HB;29;KC02312 BO 2;Bueno;SI;33cl;;210_Estrella_Damm_Original_2021.jpg
211;Desperados Strawberry Margarita;2021;Verde;cp;21;40079762 22;Perfecto;NO;33cl;;211_Desperados_Strawberry_Margarita_2021.jpg
212;Coors Light;2021;Plata;dap;18;7070713 24;Bueno;NO;33cl;;212_Coors_Light_2021.jpg
213;Tap 6: Mein Aventinus;2021;Oro;RRK;01;9 09 12/21;Perfecto;NO;50cl;;213_Schneider_Weisse_Tap_6_Aventinus_2021.jpg
214;Weltenburger Kloster Anno 1050;2021;Azul;RRK;01;10 15 09/21;Bueno;SI;50cl;;214_Weltenburger_Kloster_Anno_1050_2021.jpg
215;Cusqueña Negra;2022;Negro;PPP;A07;5;Perfecto;NO;33cl;;215_Cusqueña_Negra_2022.jpg
216;Maredsous Blond;2022;Cobre;RRK;03;16 15 14/21;Perfecto;NO;33cl;;216_Maredsous_Blond_2022.jpg
217;Brewdog Dead Pony Club;2022;Verde;Unibox;22;5;Perfecto;NO;33cl;;217_Brewdog_Dead_Pony_Club_2022.jpg
218;Brugse Zot Blond;2022;Oro;HB;31;4;Perfecto;NO;33cl;;218_Brugse_Zot_Blond_2022.jpg
219;Ambar 1900;2022;Verde;U;25;7;Bueno;NO;33cl;;219_Ambar_1900_2022.jpg
220;Super Bock Stout;2022;Negro;Unibox;B27;;Bueno;NO;33cl;;220_Super_Bock_Stout_Negra_2022.jpg
221;18/70 La Rubia;2022;Plata;cp;18;05.36.25.729 25;Perfecto;NO;33cl;;221_18-70_2022.jpg
222;Brewdog Punk IPA;2022;Negro;Unibox;13;23;Perfecto;NO;33cl;;222_Brewdog_Punk_IPA_2022.jpg
223;Grimbergen Double Ambreé;2022;Cobre;cp;15;322987 24;Perfecto;NO;33cl;;223_Grimbergen_Double_Ambreé_2022.jpg
224;Sierra Nevada Torpedo Extra IPA;2022;Oro;Crown;L9 04;8-13;Perfecto;NO;33cl;;224_Sierra_Nevada_Torpedo_2022.jpg
225;Schöfferhofer Grapefruit Hefeweizen;2022;Plata;RRK;12;15 16 38/20;Bueno;SI;33cl;;225_Schöfferhofer_Grapefruit_2022.jpg
226;Chula IPA;2022;Negro;astir;24;3/17;Bueno;NO;33cl;;226_Chula_Flipa_2022.jpg
227;Karlsbräu Helles;2022;Marrón;RRK;12;20 05 44/20;Perfecto;NO;33cl;;227_Karlsbrau_Helles_Natur_Weizen_2022.jpg
228;Karlsbräu Kellerbier;2022;Marrón;RRK;12;21 03 23/21;Perfecto;NO;33cl;;228_Karlsbrau_Naturtrübes_Kellerbier_2022.jpg
229;Victoria Málaga;2022;Multicolor;U;05;KC80607 BO 8 8;Perfecto;SI;25cl;;229_Victoria_Málaga_2022.jpg
230;Ambar 10;2022;Negro;U;14;14;Bueno;NO;33cl;;230_Ambiciosas_Ambar_2022.jpg
231;Moritz Barcelona;2022;Amarillo;Unibox;A24;9;Bueno;NO;33cl;;231_Moritz_Amarilla_Barcelona_2022.jpg
232;Oliba Green Beer;2022;Verde;U;;7;Perfecto;NO;33cl;;232_Oliba_Green_Beer_2022.jpg
233;Slash IPA;2022;Negro;cp;;24;Bueno;SI;33cl;;233_Slash_IPA_2022.jpg
234;Slash Red;2022;Negro;cp;;10;Bueno;SI;33cl;;234_Slash_Red_2022.jpg
235;La Estrella de Galicia;2022;Oro;Unibox;A28;24;Perfecto;SI;33cl;;235_Estrella_Galicia_1º_Generación_2022.jpg
236;Estrella Galicia Especial;2022;Negro;Unibox;9;6;Perfecto;SI;33cl;;236_Estrella_Galicia_2022.jpg
237;Rosita Original;2022;Amarillo;U;18;10;Perfecto;NO;33cl;;237_Rosita_Original_2022.jpg
238;The One IPA Americana;2022;Azul;Sin fabricante;B 15;;Regular;SI;33cl;;238_The_One_Ipa_Americana_2022.jpg
239;Moritz Red IPA;2022;Negro;U;32;25;Bueno;NO;33cl;;239_Moritz_Red_IPA_2022.jpg
